Daerah,Kode
Alam Sutera,0
BSD,1
BSD Anggrek Loka,2
BSD Avani,3
BSD Bukit Golf,4
BSD City,5
BSD De Park,6
BSD Delatinos,7
BSD Duta Bintaro,8
BSD Eminent,9
BSD Foresta,10
BSD Giri Loka,11
BSD Graha Raya,12
BSD Green Cove,13
BSD Green Wich,14
BSD Griya Loka,15
BSD Kencana Loka,16
BSD Nusaloka,17
BSD Provance Parkland,18
BSD Puspita Loka,19
BSD Residence One,20
BSD Sevilla,21
BSD Taman Giri Loka,22
BSD Telaga Golf,23
BSD The Green,24
BSD The Icon,25
Babakan,26
Bakti Jaya,27
Balaraja,28
Banjar Wijaya,29
Batu Ceper,30
Benda,31
Bitung,32
Ciater,33
Cibodas,34
Cihuni,35
Cikokol,36
Cikupa,37
Cikupa Citra Raya,38
Ciledug,39
Cimone,40
Cipadu,41
Cipondoh,42
Cireundeu,43
Cisauk,44
Curug,45
Duta Garden,46
Gading Serpong,47
Gading Serpong Andalucia,48
Gading Serpong IL Lago,49
Gading Serpong L Agricola,50
Gading Serpong Pondok Hijau Golf,51
Gading Serpong Samara Village,52
Gading Serpong Scientia Garden,53
Gading Serpong The Spring,54
Graha Raya,55
Jatake,56
Jelupang,57
Jombang,58
Karang Tengah,59
Karawaci,60
Kelapa Dua,61
Kreo,62
Larangan,63
Lengkong Kulon,64
Lippo Karawaci,65
Metro Permata,66
Modernland,67
Pagedangan,68
Panongan,69
Parigi,70
Pasar Kemis,71
Pengasinan,72
Pesanggrahan,73
Pinang,74
Pondok Benda,75
Pondok Betung,76
Pondok Cabe,77
Poris,78
Rajeg,79
Rawakalong,80
Rempoa,81
Sepatan,82
Serua,83
Sindang Jaya,84
Sudimara,85
Sutera Onix Alam Sutera,86
Sutera Sitara Alam Sutera,87
Tajur,88
Tanah Tinggi,89
Tangerang Kota,90
Tigaraksa,91
