Daerah,Kode,Garis_Lintang,Garis_Bujur
Alam Sutera,0,-6.2623791,106.5220235
Gading Serpong,47,-6.2433511,106.6174456
BSD City,5,-6.3007333,10.6586126
BSD The Icon,25,-6.3147526,106.6454227
BSD Kencana Loka,16,-6.3132214,106.6534347
BSD Delatinos,7,-6.3218075,106.6720399
Cikupa Citra Raya,38,-6.2452287,106.5037491
BSD,1,-6.3007333,10.6586126
Pinang,74,-6.2135586,106.6622314
Ciledug,39,-0.6240094,10.6704859
Rawakalong,80,-6.3715057,106.6763056
Sindang Jaya,84,-6.1677445,106.4977165
Cisauk,44,-0.6327523,106.6249784
Curug,45,-6.2368145,10.6566375
Pagedangan,68,-6.2971785,106.6157741
Kelapa Dua,61,-6.2392714,1.0661373
Karawaci,60,-6.1828701,10.6617579
Cikokol,36,-6.2058045,106.6332435
Cibodas,34,-6.2035316,106.6084805
Panongan,69,-6.2776781,1.0652304
Cikupa,37,-0.6217129,106.5131048
BSD De Park,6,-6.2894318,106.6344454
Serua,83,-0.0631423,10.6710505
Lippo Karawaci,65,-6.2294561,106.6089754
Cipondoh,42,-6.1829669,10.6682727
Tangerang Kota,90,-6.1766875,10.6650034
Pondok Cabe,77,-6.3508185,106.7612094
Graha Raya,55,-6.2327938,106.6804959
Gading Serpong IL Lago,49,-6.2617616,10.6555366
BSD Green Wich,14,-6.2761896,106.6298794
BSD Giri Loka,11,-6.2889368,106.6761586
BSD Eminent,9,-6.2951519,106.6310566
Larangan,63,-6.2382291,10.6733237
BSD Foresta,10,-6.2913776,10.6636332
Modernland,67,-6.1878658,106.5186859
BSD Nusaloka,17,-6.1875153,106.5186857
Poris,78,-6.1715549,10.6664045
Cipadu,41,-6.2392745,106.7351095
Batu Ceper,30,-6.1646724,106.6698559
Pengasinan,72,-0.6423257,106.7373753
Karang Tengah,59,-6.2096499,106.7087085
BSD Sevilla,21,-0.6314782,106.6853785
Rempoa,81,-6.2892975,10.6758774
Tanah Tinggi,89,-6.1733435,106.6516845
Sutera Sitara Alam Sutera,87,-6.2345385,106.6495436
BSD Taman Giri Loka,22,-6.2889368,106.6741201
Pasar Kemis,71,-6.1611551,106.5572155
BSD Graha Raya,12,-6.2596629,106.6161246
Pesanggrahan,73,-0.6254297,10.6755188
Bitung,32,-0.6232532,106.5448721
Gading Serpong Pondok Hijau Golf,51,-6.2475416,106.6106859
Ciater,33,-6.3202895,10.6692355
Parigi,70,-0.6274505,10.6697097
Tigaraksa,91,-0.6259875,10.6469015
Gading Serpong Andalucia,48,-6.2655288,106.6088126
Gading Serpong The Spring,54,-0.6268021,106.6385677
Banjar Wijaya,29,-6.1934218,106.6537557
Tajur,88,-6.2371425,10.6693367
Cireundeu,43,-6.3049949,1.0641202
BSD Griya Loka,15,-6.2981157,106.6675873
Balaraja,28,-6.2001801,106.4368779
BSD Puspita Loka,19,-6.2918455,106.6727246
Sutera Onix Alam Sutera,86,-6.2342017,106.6597069
Pondok Benda,75,-6.3427231,10.6698045
Bakti Jaya,27,-6.3538565,106.7092116
BSD Residence One,20,-6.2765101,106.6627504
Jatake,56,-0.6201491,1.0657371
Kreo,62,-6.2299325,10.6739659
Sepatan,82,-6.1230849,106.5763435
Metro Permata,66,-6.2020905,106.7138787
Pondok Betung,76,-6.2625734,106.7494866
BSD The Green,24,-6.3096315,10.6667028
Gading Serpong Scientia Garden,53,-6.2606197,106.6140258
BSD Duta Bintaro,8,-6.2299498,10.6665921
BSD Green Cove,13,-6.3012729,10.6656626
Duta Garden,46,-6.1448329,106.6802513
Jelupang,57,-6.2658959,10.6668092
BSD Avani,3,-6.3219335,106.6494651
Gading Serpong L Agricola,50,-6.2523231,106.4879949
Gading Serpong Samara Village,52,-6.2714315,106.6211152
Benda,31,-6.1259024,106.6651845
BSD Anggrek Loka,2,-6.3007853,106.6695483
Cimone,40,-6.1907014,106.6104694
Babakan,26,-6.1908935,106.6359705
Jombang,58,-6.2966149,106.7046009
Lengkong Kulon,64,-6.2834535,10.6638775
BSD Provance Parkland,18,-6.2882374,106.6658586
Sudimara,85,-6.2969629,10.6710635
BSD Telaga Golf,23,-6.2924768,106.6612729
BSD Bukit Golf,4,-6.2866417,106.6570663
Cihuni,35,-6.2601886,106.6402949
Rajeg,79,-6.115513,106.5137335
